pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
360,21600,60.0,1.0,0.0,0.0,1
395,26070,66.0,1.0,0.0,0.0,1
382,25512,66.79,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
381,22860,60.0,1.0,0.0,0.0,1
365,24090,66.0,1.0,0.0,0.0,1
364,21840,60.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
367,24612,67.06,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
5451,5799766,1063.98,0.0,1.0,0.0,1
56,67224,1200.43,0.21,0.0,0.02,1
5494,5870684,1068.56,0.0,0.99,0.0,1
10,600,60.0,1.0,0.0,0.0,1
5283,5642278,1068.01,0.0,0.99,0.0,1
84,102246,1217.21,0.2,0.0,0.01,1
5382,5756812,1069.64,0.0,0.99,0.0,1
47,56618,1204.64,0.21,0.0,0.02,1
5464,5815720,1064.37,0.0,0.99,0.0,1
51,51042,1000.82,0.35,0.0,0.02,1
5421,5803034,1070.47,0.0,0.99,0.0,1
16,14046,877.88,0.44,0.0,0.06,1
5448,5804488,1065.43,0.0,0.99,0.0,1
12,720,60.0,1.0,0.0,0.0,1
5389,5716802,1060.83,0.01,0.99,0.0,1
60,67464,1124.4,0.27,0.0,0.02,1
5486,5902876,1075.99,0.0,0.98,0.0,1
15,16566,1104.4,0.4,0.0,0.07,1
5517,5865122,1063.1,0.0,1.0,0.0,1
6,360,60.0,1.0,0.0,0.0,1
5434,5776644,1063.06,0.0,1.0,0.0,1
37,29734,803.62,0.49,0.0,0.0,1
5433,5769578,1061.95,0.0,1.0,0.0,1
16,960,60.0,1.0,0.0,0.0,1
5296,5638536,1064.68,0.0,1.0,0.0,1
10,1130,113.0,0.9,0.0,0.1,1
5303,5646998,1064.87,0.0,1.0,0.0,1
5179,5502814,1062.52,0.0,1.0,0.0,1
28,1680,60.0,1.0,0.0,0.0,1
5199,5558998,1069.24,0.0,0.99,0.0,1
77,96640,1255.06,0.17,0.0,0.04,1
5212,5557592,1066.31,0.0,0.99,0.0,1
30,32222,1074.07,0.3,0.0,0.0,1
5255,5581830,1062.19,0.0,1.0,0.0,1
21,1260,60.0,1.0,0.0,0.0,1
5013,5343858,1066.0,0.0,1.0,0.0,1
4947,5243502,1059.94,0.01,0.99,0.0,1
25,1500,60.0,1.0,0.0,0.0,1
5285,5625810,1064.49,0.0,1.0,0.0,1
7,420,60.0,1.0,0.0,0.0,1
5090,5416380,1064.12,0.0,0.99,0.0,1
48,56566,1178.46,0.23,0.0,0.0,1
4957,5275162,1064.18,0.0,1.0,0.0,1
10,600,60.0,1.0,0.0,0.0,1
4698,5000068,1064.3,0.0,1.0,0.0,1
111,59660,537.48,0.1,0.0,0.9,1
5034,5379844,1068.7,0.0,0.99,0.0,1
22,18656,848.0,0.45,0.0,0.05,1
5024,5363256,1067.53,0.0,0.99,0.0,1
19,12778,672.53,0.58,0.0,0.0,1
71,104474,1471.46,0.03,0.0,0.01,1
4992,5333072,1068.32,0.0,0.99,0.0,1
4972,5294152,1064.79,0.0,1.0,0.0,1
9,7698,855.33,0.44,0.0,0.0,1
4763,5059358,1062.22,0.0,1.0,0.0,1
71,68124,959.49,0.38,0.0,0.01,1
4717,5048122,1070.2,0.0,0.98,0.0,1
121,159706,1319.88,0.13,0.0,0.02,1
4877,5244650,1075.38,0.0,0.97,0.0,1
86,127184,1478.88,0.02,0.0,0.02,1
4873,5185618,1064.15,0.0,1.0,0.0,1
7,420,60.0,1.0,0.0,0.0,1
4742,5045572,1064.02,0.01,0.98,0.0,1
4701,5024762,1068.87,0.0,0.99,0.0,1
54,67104,1242.67,0.19,0.0,0.02,1
4818,5112988,1061.23,0.0,1.0,0.0,1
19,1140,60.0,1.0,0.0,0.0,1
4679,5027726,1074.53,0.0,0.98,0.0,1
38,42992,1131.37,0.26,0.0,0.03,1
4495,4805958,1069.18,0.0,0.99,0.0,1
75,103260,1376.8,0.09,0.0,0.03,1
4359,4658318,1068.67,0.0,0.99,0.0,1
130,180602,1389.25,0.08,0.0,0.02,1
4594,4889204,1064.26,0.0,1.0,0.0,1
18,1080,60.0,1.0,0.0,0.0,1
4581,4871346,1063.38,0.0,1.0,0.0,1
9,540,60.0,1.0,0.0,0.0,1
4461,4746426,1063.98,0.0,1.0,0.0,1
147,200524,1364.11,0.1,0.0,0.02,1
4447,4726502,1062.85,0.0,1.0,0.0,1
100,116280,1162.8,0.24,0.0,0.01,1
4431,4717446,1064.65,0.0,1.0,0.0,1
4408,4692928,1064.64,0.0,1.0,0.0,1
50,66864,1337.28,0.12,0.0,0.02,1
4199,4465398,1063.44,0.0,0.99,0.0,1
130,176240,1355.69,0.11,0.0,0.02,1
4477,4775506,1066.68,0.0,1.0,0.0,1
46,62904,1367.48,0.09,0.0,0.04,1
4654,4954748,1064.62,0.0,1.0,0.0,1
5,830,166.0,0.8,0.0,0.2,1
4606,4907596,1065.48,0.0,0.99,0.0,1
8,480,60.0,1.0,0.0,0.0,1
4836,5152776,1065.5,0.0,0.99,0.0,1
93,115860,1245.81,0.18,0.0,0.01,1
4563,4842158,1061.18,0.0,1.0,0.0,1
9,1070,118.89,0.89,0.0,0.11,1
4683,5014718,1070.83,0.0,0.98,0.0,1
104,136876,1316.12,0.13,0.0,0.03,1
4847,5146902,1061.87,0.0,1.0,0.0,1
18,1086,60.33,1.0,0.0,0.0,1
4767,5097222,1069.27,0.0,0.99,0.0,1
79,95724,1211.7,0.19,0.0,0.04,1
4894,5195604,1061.63,0.01,0.98,0.0,1
41,46080,1123.9,0.27,0.0,0.02,1
4798,5100668,1063.08,0.0,1.0,0.0,1
77,104722,1360.03,0.1,0.0,0.01,1
5045,5364970,1063.42,0.0,1.0,0.0,1
24,24906,1037.75,0.38,0.0,0.08,1
5044,5444072,1079.32,0.0,0.96,0.0,1
33,42692,1293.7,0.15,0.0,0.03,1
4778,5093348,1066.0,0.0,1.0,0.0,1
12,18056,1504.67,0.0,0.0,0.0,1
4825,5150050,1067.37,0.0,0.99,0.0,1
8,480,60.0,1.0,0.0,0.0,1
4856,5164496,1063.53,0.0,1.0,0.0,1
97,127732,1316.82,0.13,0.0,0.02,1
5040,5394328,1070.3,0.0,0.98,0.0,1
46,66624,1448.35,0.04,0.0,0.02,1
4927,5248182,1065.19,0.0,1.0,0.0,1
111,141658,1276.2,0.16,0.0,0.01,1
4912,5222192,1063.15,0.0,1.0,0.0,1
98,127904,1305.14,0.14,0.0,0.02,1
5065,5391290,1064.42,0.0,1.0,0.0,1
4956,5272096,1063.78,0.0,1.0,0.0,1
5019,5390038,1073.93,0.0,0.98,0.0,1
5184,5525424,1065.86,0.0,0.99,0.0,1
53,61340,1157.36,0.25,0.0,0.02,1
5091,5470638,1074.57,0.0,0.98,0.0,1
101,133794,1324.69,0.13,0.0,0.02,1
5097,5428402,1065.02,0.0,1.0,0.0,1
68,67944,999.18,0.35,0.0,0.01,1
5137,5486642,1068.06,0.0,0.99,0.0,1
19,17134,901.79,0.42,0.0,0.05,1
5105,5432930,1064.24,0.0,1.0,0.0,1
72,104534,1451.86,0.04,0.0,0.01,1
5081,5402346,1063.24,0.0,1.0,0.0,1
28,37806,1350.21,0.11,0.0,0.0,1
